document_id,clean_text,sentiment
28,tailored disaster preparedness intervention may effective equitable yet little known specific factor associated disaster household preparedness older adult andor african americanblack identity study aim ascertain difference importance feature machine learning model household disaster preparedness four group inform culturally tailored intervention recommendation nursing practice machine learning model developed tested combining data federal emergency management agency national household survey primary outcome variable composite readiness score total variable participant included sample selfidentified african americanblack reported year age older importance feature varied regarding financial insurance preparedness information seeking transportation group result reiterate need targeted intervention support financial resilience equitable resource access notably older adult black racial identity group tv tv news weather channel priority feature household disaster preparedness additionally reliance public transportation important among older adult black racial identity highlighting priority need equity disaster preparedness policy,neutral
29,crosssectional study aim detect diabetic retinopathy dr patient retinal scan ophthalmological exam research make use tailored retinal image together opf optimumpath forest rbm restricted boltzmann machine model categorize image according presence absence dr work feature extracted retinal image using rbm opf model particular thorough system training phase rbm able extract feature image study included fifteen distinct trial series thirty cycle repetition research comprised eye diabetic patient gender distribution reasonably balanced average age year remarkably rbm model stood top performer highest overall accuracy diagnosis term specificity rbm opf model surpassed competition correctly categorizing image free dr symptom finding highlight potential machine learning particularly rbm model selfidentifying illness potential machine learning modelsin particular rbm opfto automate diagnosis diabetic retinopathy demonstrated work result show well rbm model diagnosis sensitive well applied efficient dr screening diagnosis information may used improve effectiveness system identify retinal illness,positive
30,artificial intelligence making significant transformation human life application medical healthcare field also observed making impact improving overall outcome quest similar process mental health due lack observable change area suicide prevention last five year emerging body empirical research applying technology artificial intelligence ai machine learning ml mental health review clinical applicability aimlbased tool suicide prevention compelling question predicting suicidality focus research performed broad literature search identified article relevant meet objective review review available evidence provide brief overview advance field last five year evidence supporting implementation algorithm clinical practice current clinical utility limited using electronic health record could highly effective conjunction existing tool suicide prevention potential source relevant data include smart device social network site serious question data privacy ethic need attention developing new modality suicide research,positive
31,motivation missense variant play crucial role cancer development distinguishing frequently occur cancer genome rare may provide valuable insight important functional mechanism consequence specifically common variant confer growth advantage may undergone positive selection across different patient due similar selection pressure moreover study demonstrated significance rare mutation arise resistance mechanism response drug treatment highlight importance understanding role recurrent rare variant cancer addition existing tool variant prediction focus distinguishing variant found normal disease population often without considering specific disease context variant arise instead typically build predictor generalise across disease introduce candrivrcs set cancerspecific gradient boosting model designed distinguish rare recurrent cancer variant result curated missense variant data international cancer genome consortium icgc cancertypespecific model significantly outperformed baseline pancancer model achieving maximum leaveonegroupout crossvalidation logocv f score candrivrskcm skin cutaneous melanoma candrivrskca skin adenocarcinoma compared baseline model notably dna shape property consistently ranked among top feature distinguishing recurrent rare variant across cancer specifically recurrent missense variant frequently occurred dna bend roll potentially implicating region prone dna replication error acting mutational hotspot availability implementation training test data python code available candrivrcs github repository httpsgithubcomamyfranciscandrivrcs,negative
32,keratoconus problem cause change shape thickness cornea making thinner less resistant patient underwent refractive surgery laser higher chance developing disease corneal thinning cause blindness require corneal transplantation paper present proposal detect early stage keratoconus refractive surgery candidate applying machinelearning algorithm corneal biomechanical data differentiate normal cornea keratoconus carrier solution aim assist medical diagnosis enabling identification patient potential risk developing disease greater accuracy decisionmaking resumo ceratocone um problema que provoca alteraes formato e espessura da crnea deixandoa mais fina e menos resistente pacientes que foram submetidos cirurgia refrativa laser tem uma chance maior de desenvolver doena pelo afinamento corneano podendo causar cegueira e exigir transplante de crnea este artigo apresenta uma proposta para detectar estgios iniciais de ceratocone em pacientes candidatos cirurgia refrativa aplicando algoritmos de aprendizagem de mquina em dado oculares e biomecnicos da crnea de forma diferenciar crneas normais de portadores de ceratocone introduo ceratocone grego keratohorn crnea e konos cone um problema na crnea olho humano com incidncia de aproximadamente em casos na populao mundial e caracterizase pelo afinamento progressivo e assimtrico da crnea com formato cnico e irregular no estados unidos cerca de em pessoas desenvolvem doena kennedy et al de acordo com conselho brasileiro de oftalmologia do transplantes de crnea feitos brasil decorrncia ceratocone ceratocone uma da caractersticas mais importantes se considerar na avaliao properatria de pacientes candidatos para cirurgia refrativa kanellopoulos et al ectasia ocular nome dado para presena de alteraes na curvatura da crnea h muitos mtodos conhecidos na literatura para deteco da ectasia o principais anlise de ndicesindicadores topogrficos tomogrficos e biomecnicos randleman et al estudos recentes indicam que o ndices biomecnicos medidas essenciais para analisar fatores de risco para ectasia e podem ajudar detectar doena de forma precoce ante mesmo da evoluo para o estgios mais avanados da doena levando mudanas na crnea objetivo desta pesquisa investigar caractersticas oftalmolgicas com base na medidas biomecnicas e oculares disponibilizadas por uma clnica de oftalmologia rio de janeiro contribuio esperada inclui desenvolvimento de um modelo de aprendizagem de mquina de alta preciso para deteco de ceratocone classificador proposto baseiase treinamento do dado oriundos de olhos normais e portadores de ceratocone aplicando variaes na tcnicas e metodologias j exploradas na literatura descoberta de conhecimento em base de dado tambm conhecida como kdd knowledge discovery database uma da reas de maior relevncia para aplicao de minerao de dado e vrias abordagens suport vector machine random forest redes neurais vm sendo amplamente aplicadas na medicina e bioinformtica na previso de diagnsticos rohm et al aprendizagem de mquina tornouse popular na medicina dada sua capacidade de lidar com dado e de auxiliar diagnstico mdico oh et al deteco de ceratocone chave para identificao de candidatos cirurgia refrativa jimnez et al apresentao problema cirurgia lasik ceratomileose laser situ um procedimento de cirurgia refrativa indicado para correo da miopia astigmatismo e hipermetropia de comprovada segurana e eficcia kanellopoulos entretanto como qualquer outro tipo de procedimento cirrgico envolve complicaes uma complicao rara ma bastante sria que acomete o pacientes psoperatrio ectasia pslasik conhecida como ceratocone klein et al cirurgia lasik resulta na remoo de tecido corneano ou seja reformula superfcie da crnea para corrigir erro de refrao quantidade de tecido da crnea que removida estroma chamada de profundidade da ablao ablation depth restante tecido corneano subjacente chamado de leito estromal residual existem trs camadas serem consideradas ao realizar lasik retalho flap tickness profundidade da ablao ablation depth e leito estromal residual rsb medidas da trs camadas precisam ser analisadas ante que lasik possa ser executado conjunto de dado disponibilizado contm registros de pacientes com informaes biomecnicas oculares distribudas em variveis conjunto de dado informa presena ou da ectasia ocular sendo registros de olhos saudveis e registros de olhos portadores de ceratocone proposta de soluo proposta da pesquisa desenvolver um modelo classificador para auxiliar na deteco de pacientes com risco de desenvolver ectasia ocular psoperatrio da cirurgia de refrao esta proposta de soluo visa utilizar tcnicas de aprendizagem de mquina para extrair padre ocultos na medidas coletadas soluo possibilitar prever com maior eficcia probabilidade de pacientes desenvolverem ectasia corneana no estgios iniciais graus e ii da tabela de classificao de amsler krumeich identificando caractersticas mais decisivas para desenvolvimento da doena metodologia proposta para alcance do objetivos da pesquisa consiste na etapas seguir caracterizao problema teorizao construo modelo classificador e avaliao experimental avaliao experimental modelo avaliao da soluo partir da construo modelo ocorre na etapa de experimetao considerandose que apenas da instncias observadas desenvolveram ceratocone sero aplicadas tcnicas de undersampling ou oversampling para tratar desbalanceamento do dado tcnica de undersampling diminui quantidade de observaes com maior nmero de instncias olhos normais e tcnica de oversampling replica observaes em menor quantidade olhos com ceratocone partir da equalizao da observaes classificador ser avaliado quanto sua matriz de confuso e medidas de sensibilidade especificidade acurcia curva roc receiver operating characteristic e auc area curve matriz de confuso relaciona o valores de entrada com o resultados previstos pelo classificador segregando em quatro quadrantes o verdadeiros positivos verdadeiros negativos falsos positivos e falsos negativos sensibilidade mede proporo de casos positivos identificados corretamente especificidade mede proporo de casos negativos identificados corretamente acurcia mede proporo de casos corretamente previstos curva roc mede taxon de falsos positivos eixo x e taxon de verdadeiros positivos eixo esquema abaixo representa fluxo proposto para treinamento classificador figura fluxo para treinamento classificador proposto partir do resultados obtidos sero aplicados testis estatsticos para comparar desempenho do modelos propostos teste de kruskalwallis possibilitar observar se existe diferena estatstica relevante entre o algoritmos utilizados em cada modelo confirmando esta hiptese o testis de scottknott e effect size de cohens permitiro analisar magnitude desta diferena possibilitando ranquear o modelos que melhor contribuem com classificador atividades realizadas pesquisa encontrase na fase inicial correspondente contextualizao problema e levantamento de estudos semelhantes extrados da literatura embora estes trabalhos indiquem elevado desempenho diagnstico de ceratocone por meio da aplicao de distintas tcnicas de aprendizagem de mquina esta pesquisa propese em combinar acurcia de tcnicas supervisionadas na deteco de class previamente conhecidas com adaptabilidade de tcnicas nosupervisionadas na deteco de nova class quadro abaixo apresenta uma amostra levantamento realizado quadro amostra de trabalhos realizados para diagnstico de ceratocone autor tcnica auc parmetros alexandru lavric et al cnn topografia da imagens r ambrsio et al rfloocv dado tomogrficos pentacam hr biomecnicoscorvis st accardo et al nn dado topogrficos legenda nn neural network cnn convolution neural network rf random forest loocv leaveoneout crossvalidation consideraes finais aplicao de tcnicas de aprendizagem de mquina vem se consolidado como estratgia fundamental diagnstico de ceratocone desenvolvimento de um modelo analtico de dado para detectar estgios iniciais de ceratocone permite que ferramentas de apoio deciso utilizem como insumo seus dado para garantir uma maior assertividade diagnstico mdico aliado ao alto desempenho esperado em termos de sensibilidade acurcia e especificidade da soluo esperase minimizar chance de complicaes psoperatrio em pacientes de risco candidatos cirurgia refrativa,negative
33,satellite communication system necessary implement fast effective interference suppression unknown interference signal ensure safety reliability satellite communication successful recognition type interference prerequisite ensuring highefficiency antiinterference paper incremental learning method introduced process satellite interference signal recognition lower hardware condition required machine learning algorithm reduce memory consumption shorten computing time firstly variety frequency domain feature extracted five kind interference signal often appear satellite communication system classification feature parameter secondly incremental support vector machine learning model proposed gert cauwenberghs et al extended multiclass model oneversusone decision tree directed acyclic graph respectively three improved model used train characteristic parameter interference signal obtain recognition result simulation experiment show compared conventional multicategory support vector machine model proposed model little difference recognition accuracy computing time memory occupation training model greatly reduced result consistent actual requirement satellite communication system,positive
34,monitoring evaluation essential process international development ensuring accountability learning program effectiveness article examines evolution compliancedriven reporting adaptive system grounded resultsbased management rbm logical framework approach logframe theory change toc particular attention given lowresource setting contextsensitive costeffective approach critical analysis highlight practical strategy adapting data collection reporting example health agriculture community program emerging trend including use mobile technology artificial intelligence machine learning considered potential enhance realtime monitoring predictive insight article concludes participatory culturally grounded adaptive approach essential strengthening trust ensuring sustainability embedding culture learning development practice,positive
35,paper proposes novel simple multilayer feature learning method image classification employing extreme learning machine elm proposed algorithm composed two stage multilayer elm mlelm feature mapping stage elm learning stage mlelm feature mapping stage recursively built alternating feature map construction maximum pooling operation particular input weight constructing feature map randomly generated hence need trained tuned make algorithm highly efficient moreover maximum pooling operation enables algorithm invariant certain transformation elm learning stage elasticnet regularization proposed learn output weight elasticnet regularization help learn compact meaningful output weight addition preprocess input data dense scaleinvariant feature transform operation improve robustness invariance algorithm evaluate effectiveness proposed method several experiment conducted three challenging database compared conventional deep learning method related one proposed method achieves best classification result high computational efficiency,positive
36,open education system college physical education multimedia network teaching involves complexity diversity improve efficiency teaching paper proposes information fusion model based big data resource scheduling online course design incorporates software platform built embedded linux environment including several key module database module multimedia information resource sampling module embedded program processing module multimedia humanmachine interaction control modulethe platform aim enhance teaching learning experience college physical education offering student interactive comprehensive learning environment key component platform design include user interface database module information fusion model platform utilizes excel access technology data collection database construction within open education system additionally quantitative recursive analysis method applied design algorithm multimedia network teaching information fusion scheduling linear programming modelthe algorithm integrates platform using instruction dynamic loading module load system control terminal information processing center successful loading algorithm executed various task related information fusion scheduling feature allows efficient management resource datafurthermore platform support crosscompilation multimode control multimedia network teaching information cloud computing environment combining embedded software design technique software development management platform realized result demonstrate platform multimode integration scheduling ability enhanced realtime retrieval access capability stronger thereby improving quality multimedia network teaching college sport,positive
37,current technological era machine learning application becoming popular every day research paper provides information effectiveness ml technique accounting well auditing process get proper result different ml library utilized concluding seaborn matplotlib numpy introduction section research purpose research objective developed entire research process developed logistic regression machine learning model built literary source analyzed literature review section easy gain different perception based research context effectiveness different type machine learning algorithm accounting auditing evaluated properly develop knowledge level important increase proper attention research paper provide proper information based ml effectiveness,neutral
38,impact morbidity long term lead chronic disease high mortality rate majority people suffering realize chronic nature end stage machine learning integrated physician deliver better solution identifying nature disease early stage patient diagnosed help machine learning technique algorithm machine learning algorithm like nave bayesian network decision tree random forest support vector machine integrated patient data diagnose disease give result patient condition normal abnormal diagnosis medication suggested disease general method used diagnosis affordable major population machine learning method overcome limit,negative
39,paper present concept information system forecasting temperature regime earth surface using machine learning forecasting based historical data specific area order increase accuracy forecasting result analysis feature climatic zone carried identify pattern comparison dependence average monthly temperature earth surface country depending location climate zone carried analysis source scientific publication confirmed relevance chosen research topic historical aspect forecasting change climatic indicator considered modern method approach temperature forecasting advantage disadvantage analyzed overview subject area conducted regularity temperature change according climate feature determined comparison temperature regime country located different climate zone made clarity graph temperature change plotted average indicator calculated climate zone result study confirm need adjust temperature forecast certain area taking account location specific climate zone revealed regularity temperature regime country indicate need individual approach forecasting use machine learning method best adapted dependency observed climate zone architecture information system forecasting future temperature depending climatic feature studied territory proposed concept formed research find accurate effective approach predicting climate parameter achieving goal sustainable development,positive
40,outbreak cyanobacterial bloom serious water environmental problem harm brings aquatic ecosystem water supply system underestimated important establish accurate prediction model cyanobacterial bloom concentration challenging issue machine learning technique improve prediction accuracy large amount historical monitoring data needed train model water inconvenient geographical location frequent sensor failure enough historical data train model deal problem fused model based transfer learning method proposed paper study data water environment large amount historical monitoring data taken source domain order learn knowledge cyanobacterial bloom growth characteristic train prediction model data water environment small amount historical monitoring data taken target domain order load model trained source domain training set target domain used participate interlayer finetuning training model obtain transfer learning model last transfer learning model fused convolutional neural network obtain prediction model various experiment conducted h prediction test set target domain result show proposed model significantly improve prediction accuracy cyanobacterial bloom water environment low data volume,negative
41,advance early insect detection reported using digital technology camera system sensor network remote sensing coupled machine learning ml modeling however date costeffective system monitor insect presence accurately insectplant interaction paper present result implementation nearinfrared spectroscopy nir lowcost electronic nose enose coupled machine learning several artificial neural network ann model developed based classification detect level infestation regression predict insect number enose nir input plant physiological response based enose predict photosynthesis rate transpiration e stomatal conductance g result showed high accuracy classification model ranging within nir using enose data input regression model high correlation coefficient obtained physiological parameter g e using enose data sample input r r considering control plant insect presence finally r nir r enose data input obtained predict number insect performance model developed showed sign overfitting paper fieldbased system using unmanned aerial vehicle enose payload proposed described deployment ml model aid grower pest management practice,positive
42,numerous disease nowadays recognized getgo start viable treatment may lethal incurable thus important examine convoluted clinical information report photo quicker maintaining significant precision level different case certain peculiarity unpretentious extent individual cant promptly distinguish point basic information examination clinical information expected distinguish stowedaway connection irregularity obvious people ai innovation utilized medical service computational navigation trying execute algorithm position yet considerably harder develop calculation precision decreasing execution time meaning preventive productive medical service utilizing enormous information scattered different lot gadget underlined medical care late expanded interest medical care data investigation fundamentally includes forecast utilizing client essential data static information knowledge base research study proposes convolutional neural network cnn machine learningbased unique model health care prediction,negative
43,extraordinary outbreak pneumonia wuhan city china subsequently termed covid emerged december virus also known infectious disease inherited novel coronavirus study exposed beginning unprecedented covid confirmed case spike exponentially united state country globally epidemiologist usually utilize conventional spread prediction via classic clustering method suspected patient likely blow disease potential agglomerative case grouped place time era cutting edge outbreak prediction also generate accurate technique utilize unsupervised machine learning method apply two prominent unsupervised learning method namely kmeans clustering correlation set coronavirus outbreak covid data collection dated march august kmeans automatically search unknown cluster many country infected covid rapidly show group produce accuracy united state italy iran france spain german indonesia malaysia philippine cluster time predicts pertinent relationship total death critical patient attribute correlating covid characteristic,negative
44,given advantage low latency fast response contextaware service mobility privacy preservation edge computing emerged key support intelligent application gg internet thing iot network technology extends cloud providing intermediate service edge network improving quality service latencysensitive application many aibased solution machine learning deep learning swarm intelligence exhibited high potential perform intelligent cognitive sensing intelligent network management big data analytics security enhancement edgebased smart application despite many benefit still concern required capability intelligent edge computing deal computational complexity machine learning technique big iot data analytics resource constraint edge computing distributed computing efficient orchestration synchronization resource factor require attention quality service improvement costeffective development edgebased smart application context paper aim explore confluence ai edge many application domain order leverage potential existing research around factor identify new perspective confluence edge computing ai improves quality user experience emergency situation internet vehicle critical inaccuracy delay lead damage accident factor study used evaluate success edgebased application review first provide indepth analysis state art ai edgebased application focus eight application area smart agriculture smart environment smart grid smart healthcare smart industry smart education smart transportation security privacy present qualitative comparison emphasizes main objective confluence role use artificial intelligence network edge key enabling technology edge analytics open challenge future research direction perspective identified discussed finally conclusion drawn,negative
45,retracts article doi,neutral
46,background primary care population age timely identification palliative care need becoming increasingly relevant previous study targeted particular patient population lifelimiting disease focused patient primary care setting toward end propose steppedwedge pragmatic randomized trial whereby machine learning algorithm identifies patient empaneled primary care unit mayo clinic rochester minnesota united state high likelihood palliative care need method care team unit cluster randomized wedge lasting day care team treatment wedge palliative care specialist review identified patient making recommendation primary care provider appropriate care team control wedge receive palliative care standard care discussion pragmatic trial therefore integrates machine learning clinical decision making instead simply reporting theoretical predictive performance integration possibility decrease time palliative care improving patient quality life symptom burden trial registration clinicaltrialsgov nct restrospectively registered protocol v dated,negative
47,finding important edge graph crucial problem various research field network epidemic signal processing machine learning sensor network paper tackle problem based sampling theory graph convert original graph line graph node edge respectively represent original edge connection edge perform node sampling line graph based edge smoothness assumption process selects critical edge original graph present general framework edge sampling based graph sampling theory reveal theoretical relationship degree original graph line graph also propose acceleration method edge sampling proposed framework using relationship two type laplacian node edge domain experimental result synthetic realworld graph validate effectiveness approach alternative edge selection method,neutral
48,past ten year lot emphasis focused development artificial intelligence ai machine learning mlbased mental health treatment increase practitioner patient trust ai application ai system need explain action called explainable ai xai significant progress achieved stress prediction model xai advanced much overcome gap work present explainable aibased multilayer pyramid convolutional neural network xaimlpcnn architecture stress detection multichannel eeg recording deconstructed distinct frequency band nonlinearity nonstationarity removed using discrete wavelet transform dwt processing feature power spectral density psd employed conversely decomposed signal employed automatic feature extraction process mlpcnn dual bilstm selfattention layer dbilsa utilized predict stress mlpcnndbilsa psd feature combined improve prediction provide explanation assess explainable prediction explainable artificial intelligence technique like shapley additive explanation shap local interpretable modelagnostic explanation lime employed python platform used implement model performance assessed using several performance metric accuracy recall precision fmeasure furthermore proposed approach compared method currently use like cnndwd psd lstmdwd psd bilstmdwd psd rnndwd psd grudwt psd,positive
49,due potential unmanned aerial vehicle uav began increasingly used various field environment leisure health military transport etc along increasing battery storage capacity uavs began propulsion brushless dc bldc motor failure bldc motor lead loss control cause accident condition necessary devise method find defect bldc motor uavs article author propose novel method predict bldc motor defect using machine learning maximize method result performance three machine learning model knearest neighbor knn support vector machine svm bayesian network bn predicting flaw bldc motor compared,negative
50,spontaneous activity play crucial role brain development coordinating integration immature neuron emerging cortical network high level complex pattern spontaneous activity generally associated low rate apoptosis cortex however whether spontaneous activity pattern directly encode survival individual cortical neuron development remains open question longitudinally investigated spontaneous activity apoptosis developing cortical culture combining extracellular electrophysiology calcium imaging experiment demonstrated early occurrence calcium transient strongly linked neuronal survival silent neuron exhibited higher probability cell death whereas high frequency spiking burst behavior almost exclusively detected surviving neuron local neuronal cluster activity neighboring neuron exerted prosurvival effect whereas functional level network high modular topology associated lower cell death rate using machine learning algorithm cell fate individual neuron predictable integration spontaneous activity feature result indicate high frequency spiking activity constrains apoptosis single neuron sustained calcium rise thereby consolidates network high modular topology reached early development,neutral
51,paper special section examines deployment big data artificial intelligence network technology eneration huge amount data called big data creating need efficient tool manage data artificial intelligence ai become powerful tool dealing big data recent breakthrough multiple front machine learning including deep learning meanwhile information network becoming larger complicated generating huge amount runtime statistic data traffic load resource usage emerging big data ai technology may include bunch new requirement application scenario ehealth intelligent transportation system industrial internet thing iiot smart city term computing network big data ai driven network technology also provide unprecedented patient discover new feature characterize user demand system capability network resource assignment security privacy system architecture modeling application need exploration focus special section address big data artificial intelligence network technology appreciate contribution special section valuable extensive effort reviewer topic special section range big data ai algorithm model architecture network system network architecture,positive
52,digital twin dts gaining popularity provide precise digital copy asset process system especially true dts paired realtime simulation model make use modern technology like machine learning artificial intelligence data analytics combination provide comprehensive dynamic view monitored system digital twin dt shown tremendous potential bring revolutionary improvement field construction site surveillance however notable paucity empirical research identifying constant element affecting dt adoption industry research try fill void identifying important element determine usage dt construction study adopts complete framework goal increasing use dt building site monitoring element influencing adoption effectiveness distributed ledger technology dt divided three category technological organizational economic technological factor include system appropriateness robustness data infrastructure organizational consideration include company openness innovation leadership support economic aspect include thing like return investment roi costeffectiveness research technique combine case study literature review examine benefit drawback dt construction monitoring study expected output comprehensive framework aid construction business optimizing use dt site monitoring would allow efficient datadriven forwardthinking process study ultimate purpose provide critical knowledge assist building sector adopting cuttingedge method industry may better plan integration sophisticated technology operation knowing potential dt variable driving adoption turn lead efficiency lower risk improved overall performance,negative
53,training data nlp task often exhibit gender bias fewer sentence refer woman men neural machine translation nmt gender bias shown reduce translation quality particularly target language grammatical gender recent winomt challenge set allows u measure effect directly stanovsky et al ideally would reduce system bias simply debiasing data prior training achieving effectively challenge rather attempt create balanced dataset use transfer learning small set trusted genderbalanced example approach give strong consistent improvement gender debiasing much less computational cost training scratch known pitfall transfer learning new domain catastrophic forgetting address adaptation inference time adaptation show elastic weight consolidation allows performance tradeoff general translation quality bias reduction inference time propose latticerescoring scheme outperforms system evaluated stanovsky et al winomt degradation general test set bleu demonstrate approach translating english three language varied linguistic property data availability,negative
54,work present framework datadriven digital twin realtime machine monitoring datadriven digital twin gaining prominence variety industrial application owing ability capture complex relationship sensor data system behavior computational efficiency gained using twin critical realtime machine monitoring diagnostics timely interactive human intervention one fundamental challenge current datadriven digital twin lack understanding different data synthesis strategy sensor data affect predictive power twin model typically obtained statistical learning result interactive support enabling human intervention machine health monitoring generalized different machine configuration fault condition using turbomachinery concrete demonstrative context investigate two fundamentally different data synthesis strategy namely integrated combinatorial digital twin rotating machine specifically consider rotor kit machine component develop synthetic dataset using simulation conduct systematic study predictive performance reduced order model trained using different data data synthesis strategy experiment show combinatorial dataset offer higher prediction accuracy comaprison randomized data generation demonstrate practical application methodology develop cloudbased augmented reality ar mobile tool extract functional information realtime using raw data map respective part machine,negative
55,comprehensive growth index cgi accurately reflects crop growth condition single indicator crucial precision irrigation fertilization yield prediction however many current study overlook relationship different growth parameter varying contribution yield leading overlapping information lower accuracy monitoring crop growth therefore study focus winter wheat construct comprehensive growth monitoring index cgiac based adaptive weight allocation growth parameter contribution yield using data leaf area index lai soil plant analysis development spad value plant height ph biomass bm plant water content pwc using uav data vegetation index feature selection performed using elastic net growth inversion model constructed using machine learning method including linear regression lr random forest rf gradient boosting gb support vector regression svr based optimal growth inversion model winter wheat spatial distribution wheat growth study area obtained finding demonstrated cgiac outperforms cgiav constructed using equal weighting cgicv built using coefficient variation yield correlation prediction accuracy specifically yield correlation cgiac improved compared individual index yield prediction accuracy increased among evaluated model rf model achieved best performance coefficient determination r root mean square error rmse comparison wheat orthophotos period confirmed inversion result highly consistent actual growth condition study area proposed method significantly improved accuracy applicability winter wheat growth monitoring overcoming limitation single parameter growth prediction additionally provided new technological support innovative solution regional crop monitoring precision farming operation,negative
56,book offer indepth exploration advanced remote sensing technology geological study three author weitao chen xianju li lizhe wang affiliated school computer science china university geosciences wuhan china expertise ai application geological data interpretation fourth author xuwen qin based china aero geophysical survey remote sensing center natural resource beijing china know geophysics multisource data integration interdisciplinary collaboration provides robust foundation book innovative methodology geological exploration book integrates remote sensing methodology stateoftheart artificial intelligence ai technique enhance geological interpretation remote sensing acquires data via satellite aircraft drone usually relies human interpretation computergenerated image intelligent remote sensing enhanced ai machine learning automates analysis improves accuracy process complex largescale datasets advancement enables efficient geological exploration environmental monitoring resource management master student physic read book wrote review three week ai utilized enhance clarity language personal connection author book address critical topic lithological classification scene segmentation transfer learning offering solution practical challenge tailored advanced undergraduate graduate student well researcher professional specializing geology,negative
57,accurate crop classification necessary use timeseries highresolution satellite data better discriminate among certain crop type task brings following challenge large amount satellite data download big data processing computational resource utilization stateoftheart classification approach solving problem developed automated crop classification workflow based machinelearning technique deployment workflow cloud platform overcome challenge big data downloading processing paper present system architecture describe experiment structural parametric identification machine learning model utilized system,negative
58,study present machine learning framework realtime hazard assessment fire environment using gas sensor data twostage predictive model developed simulated data pyrosim fire dynamic tool regression model predicts gas concentration throughout burning structure classification model determines whether level safe pose immediate danger life health idlh enhance performance lag feature captured shortterm temporal dynamic synthetic minority oversampling technique smote addressed class imbalance improving detection rare critical hazardous condition approach significantly increased model accuracy identifying immediate danger event designed realtime deployment system process sensor input provide instant hazard classification preliminary result indicate model accurately predict classify hazardous condition high confidence enabling realtime use autonomous system future effort focus sensor calibration system integration field validation advance automated risk assessment improve responder safety fire emergency,negative
59,backgroundobjectives mammary gland trait milk quality lactation performance economically critical b taurus aries core regulatory hub gene remain unclear due high false positive singlemethod transcriptomic analysis study aimed identify robust hub gene linked speciesspecific difference mammary gland tissue via integrated bioinformatics strategy method raw transcriptomic data b taurus aries mammary gland sample retrieved european nucleotide archive ena quality control differential expression gene deg screening weighted gene coexpression network analysis wgcna shapley additive explanation shapassisted machine learning performed core gene defined intersection three gene set functional enrichment proteinprotein interaction ppi network analysis used prioritize hub gene result total highquality gene retained including degs wgcna core module gene shaphighcontribution gene yielding core gene significantly enriched translation p pathway hub gene identified via ppi network analysis conclusion finding indicate rps rpla core speciesdifference signal mammary gland tissue b taurus aries providing insight interspecies molecular difference integrated strategy enhances robustness hub gene identification pure bioinformatics study,positive
60,purpose purpose study investigate library adopt beyond reality technology like virtual reality augmented reality mixed reality extended reality provide engaging environment transform user service provision designmethodologyapproach study explained different facet beyond reality surveyed various library website analysed literature dealing varying form beyond reality technology gain idea library perceive relevance emerging technology incorporation workflow finding study presented use case study give overview adoption technology library study also outline scope future possibility expansion application originalityvalue practical example help improve understanding practicing librarian contemplating implementation preparing cover area technology library encourage researcher explore integration artificial intelligence machine learning technology cloud infrastructure leverage maximum outcome broader perspective immersive technology,positive
61,use generative machine learning model trained experimentally resolved structure deposited protein data bank attractive approach sampling conformational ensemble protein however ensemble generated model lack time scale causal information use structural ensemble generated alphafold range msa depth parametrize potential mean force overdamped memoryfree coarsegrained langevin equation approach couple alphafold ensemble causal model allowing u estimate time scale spanned ensemble generated msa depth performing analysis six variant hiv protease confirm inverse relationship msa depth time scale ensemble conformational fluctuation msa depth essentially serf conformational restraint alphafold generally able probe time scale seen microsecondlong unbiased molecular dynamic simulation conclude generalizing approach generative structural ensembleprediction method well cofolding model case biologically functional hiv protease dimer,neutral
62,order provide quick efficient treatment disease prediction healthcare industry must exceedingly accurate overall goal project predict brain tumor early stage using deep learning model brain important organ human body since control organ function help u make decision tumor unchecked growth unwanted tissue inside brain developed fibrous mesh main objective study identify brain tumor early research would offer prognosis identifying presence absence tumor among machine learning algorithm yolo look deep learning method employed greater degree precision produce result quickly easy train large datasets another benefit deep learning method permit parallelization higher testing accuracy algorithm technique make possible diagnose brain tumor quickly precisely time help patient care,negative
